perfil,papelNoProjeto,vinculoComAtividade,passoQueDecidiu,escopoDeLeitura,canView,canComment,canEditExecucao,canEditPlanejamento,canAssign,canPromover,canAssumir,canDelete,canManageTeam
coordenador,editar_minhas,participante,4-equipe-editar-apenas-as-minhas,projeto,sim,sim,sim,sim,nao,nao,sim,nao,nao
coordenador,editar_minhas,responsavel,4-equipe-editar-apenas-as-minhas,projeto,sim,sim,sim,sim,sim,nao,sim,nao,nao
coordenador,ver_comentar,nenhum,4-equipe-visualizar-e-comentar,projeto,sim,sim,nao,nao,nao,nao,nao,nao,nao
coordenador,ver_comentar,participante,4-equipe-visualizar-e-comentar,projeto,sim,sim,nao,nao,nao,nao,nao,nao,nao
coordenador,ver_comentar,responsavel,4-equipe-visualizar-e-comentar,projeto,sim,sim,nao,nao,nao,nao,nao,nao,nao
coordenador,fora_da_equipe,nenhum,6-sem-acesso,nenhum,nao,nao,nao,nao,nao,nao,nao,nao,nao
coordenador,fora_da_equipe,participante,5-ator-da-atividade,atividade_e_trilha,sim,sim,sim,nao,nao,nao,nao,nao,nao
coordenador,fora_da_equipe,responsavel,5-ator-da-atividade,atividade_e_trilha,sim,sim,sim,nao,nao,nao,nao,nao,nao
colaborador,dono_gestor,nenhum,3-dono-gestor-do-projeto,projeto,sim,sim,sim,sim,sim,sim,sim,sim,sim
colaborador,dono_gestor,participante,3-dono-gestor-do-projeto,projeto,sim,sim,sim,sim,sim,sim,sim,sim,sim
colaborador,dono_gestor,responsavel,3-dono-gestor-do-projeto,projeto,sim,sim,sim,sim,sim,sim,sim,sim,sim
colaborador,editar_excluir,nenhum,4-equipe-editar-e-excluir,projeto,sim,sim,sim,sim,sim,sim,sim,sim,nao
colaborador,editar_excluir,participante,4-equipe-editar-e-excluir,projeto,sim,sim,sim,sim,sim,sim,sim,sim,nao
colaborador,editar_excluir,responsavel,4-equipe-editar-e-excluir,projeto,sim,sim,sim,sim,sim,sim,sim,sim,nao
colaborador,editar_tudo,nenhum,4-equipe-editar-tudo,projeto,sim,sim,sim,sim,sim,sim,sim,nao,nao
colaborador,editar_tudo,participante,4-equipe-editar-tudo,projeto,sim,sim,sim,sim,sim,sim,sim,nao,nao
colaborador,editar_tudo,responsavel,4-equipe-editar-tudo,projeto,sim,sim,sim,sim,sim,sim,sim,nao,nao
colaborador,editar_minhas,nenhum,4-equipe-editar-apenas-as-minhas,projeto,sim,sim,nao,nao,nao,nao,sim,nao,nao
colaborador,editar_minhas,participante,4-equipe-editar-apenas-as-minhas,projeto,sim,sim,sim,sim,nao,nao,sim,nao,nao
colaborador,editar_minhas,responsavel,4-equipe-editar-apenas-as-minhas,projeto,sim,sim,sim,sim,sim,nao,sim,nao,nao
colaborador,ver_comentar,nenhum,4-equipe-visualizar-e-comentar,projeto,sim,sim,nao,nao,nao,nao,nao,nao,nao
colaborador,ver_comentar,participante,4-equipe-visualizar-e-comentar,projeto,sim,sim,nao,nao,nao,nao,nao,nao,nao
colaborador,ver_comentar,responsavel,4-equipe-visualizar-e-comentar,projeto,sim,sim,nao,nao,nao,nao,nao,nao,nao
colaborador,fora_da_equipe,nenhum,6-sem-acesso,nenhum,nao,nao,nao,nao,nao,nao,nao,nao,nao
colaborador,fora_da_equipe,participante,5-ator-da-atividade,atividade_e_trilha,sim,sim,sim,nao,nao,nao,nao,nao,nao
colaborador,fora_da_equipe,responsavel,5-ator-da-atividade,atividade_e_trilha,sim,sim,sim,nao,nao,nao,nao,nao,nao
visualizador,dono_gestor,nenhum,2-perfil-visualizador,projeto,sim,nao,nao,nao,nao,nao,nao,nao,nao
visualizador,dono_gestor,participante,2-perfil-visualizador,projeto,sim,nao,nao,nao,nao,nao,nao,nao,nao
visualizador,dono_gestor,responsavel,2-perfil-visualizador,projeto,sim,nao,nao,nao,nao,nao,nao,nao,nao
visualizador,editar_excluir,nenhum,2-perfil-visualizador,projeto,sim,nao,nao,nao,nao,nao,nao,nao,nao
visualizador,editar_excluir,participante,2-perfil-visualizador,projeto,sim,nao,nao,nao,nao,nao,nao,nao,nao
visualizador,editar_excluir,responsavel,2-perfil-visualizador,projeto,sim,nao,nao,nao,nao,nao,nao,nao,nao
visualizador,editar_tudo,nenhum,2-perfil-visualizador,projeto,sim,nao,nao,nao,nao,nao,nao,nao,nao
visualizador,editar_tudo,participante,2-perfil-visualizador,projeto,sim,nao,nao,nao,nao,nao,nao,nao,nao
visualizador,editar_tudo,responsavel,2-perfil-visualizador,projeto,sim,nao,nao,nao,nao,nao,nao,nao,nao
visualizador,editar_minhas,nenhum,2-perfil-visualizador,projeto,sim,nao,nao,nao,nao,nao,nao,nao,nao
visualizador,editar_minhas,participante,2-perfil-visualizador,projeto,sim,nao,nao,nao,nao,nao,nao,nao,nao
visualizador,editar_minhas,responsavel,2-perfil-visualizador,projeto,sim,nao,nao,nao,nao,nao,nao,nao,nao
visualizador,ver_comentar,nenhum,2-perfil-visualizador,projeto,sim,nao,nao,nao,nao,nao,nao,nao,nao
visualizador,ver_comentar,participante,2-perfil-visualizador,projeto,sim,nao,nao,nao,nao,nao,nao,nao,nao
visualizador,ver_comentar,responsavel,2-perfil-visualizador,projeto,sim,nao,nao,nao,nao,nao,nao,nao,nao
visualizador,fora_da_equipe,nenhum,6-sem-acesso,nenhum,nao,nao,nao,nao,nao,nao,nao,nao,nao
visualizador,fora_da_equipe,participante,2-perfil-visualizador,atividade_e_trilha,sim,nao,nao,nao,nao,nao,nao,nao,nao
visualizador,fora_da_equipe,responsavel,2-perfil-visualizador,atividade_e_trilha,sim,nao,nao,nao,nao,nao,nao,nao,nao
externo,dono_gestor,nenhum,3-dono-gestor-do-projeto,projeto,sim,sim,sim,sim,sim,sim,sim,sim,sim
externo,dono_gestor,participante,3-dono-gestor-do-projeto,projeto,sim,sim,sim,sim,sim,sim,sim,sim,sim
externo,dono_gestor,responsavel,3-dono-gestor-do-projeto,projeto,sim,sim,sim,sim,sim,sim,sim,sim,sim
externo,editar_excluir,nenhum,4-equipe-editar-e-excluir,projeto,sim,sim,sim,sim,sim,sim,sim,sim,nao
externo,editar_excluir,participante,4-equipe-editar-e-excluir,projeto,sim,sim,sim,sim,sim,sim,sim,sim,nao
externo,editar_excluir,responsavel,4-equipe-editar-e-excluir,projeto,sim,sim,sim,sim,sim,sim,sim,sim,nao
externo,editar_tudo,nenhum,4-equipe-editar-tudo,projeto,sim,sim,sim,sim,sim,sim,sim,nao,nao
externo,editar_tudo,participante,4-equipe-editar-tudo,projeto,sim,sim,sim,sim,sim,sim,sim,nao,nao
externo,editar_tudo,responsavel,4-equipe-editar-tudo,projeto,sim,sim,sim,sim,sim,sim,sim,nao,nao
externo,editar_minhas,nenhum,4-equipe-editar-apenas-as-minhas,projeto,sim,sim,nao,nao,nao,nao,sim,nao,nao
externo,editar_minhas,participante,4-equipe-editar-apenas-as-minhas,projeto,sim,sim,sim,sim,nao,nao,sim,nao,nao
externo,editar_minhas,responsavel,4-equipe-editar-apenas-as-minhas,projeto,sim,sim,sim,sim,sim,nao,sim,nao,nao
externo,ver_comentar,nenhum,4-equipe-visualizar-e-comentar,projeto,sim,sim,nao,nao,nao,nao,nao,nao,nao
externo,ver_comentar,participante,4-equipe-visualizar-e-comentar,projeto,sim,sim,nao,nao,nao,nao,nao,nao,nao
externo,ver_comentar,responsavel,4-equipe-visualizar-e-comentar,projeto,sim,sim,nao,nao,nao,nao,nao,nao,nao
externo,fora_da_equipe,nenhum,6-sem-acesso,nenhum,nao,nao,nao,nao,nao,nao,nao,nao,nao
externo,fora_da_equipe,participante,5-ator-da-atividade,atividade_e_trilha,sim,sim,sim,nao,nao,nao,nao,nao,nao
externo,fora_da_equipe,responsavel,5-ator-da-atividade,atividade_e_trilha,sim,sim,sim,nao,nao,nao,nao,nao,nao
